,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
990183,990183,2020-02-08 16:20:13,3599237318576484,"fraud_Lesch, D'Amore and Brown",food_dining,46.43,Jessica,Smith,F,06808 Ryan Valleys,Dubre,KY,42731,36.8421,-85.5396,341,Insurance risk surveyor,1932-11-19,94290fc2133bb51b384da3ccf9d25146,1360340413,36.523255,-84.994671,0
616182,616182,2019-09-19 02:41:02,377654590313960,fraud_Berge LLC,gas_transport,63.56,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,9f267391bd95bf3c70e845079882bf38,1348022462,35.529894,-84.422425,0
96845,96845,2019-02-26 13:08:02,213141712584544,fraud_Reilly LLC,home,60.93,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,1984-12-24,a8221a8400d14daf039e974d50e290c8,1330261682,32.321014,-90.561155,0
1102300,1102300,2020-04-03 19:10:03,4259996134423,fraud_Osinski Inc,personal_care,42.98,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,1968-11-22,94abcb81384ca5087de5fa6c6b8e96db,1365016203,38.754645,-98.31282,0
1015653,1015653,2020-02-23 09:46:37,4512828414983801773,"fraud_Olson, Becker and Koch",gas_transport,57.05,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,1983-07-25,fcfdb6033bc6053bb851074dd1f94b35,1361612797,39.561026,-80.254639,0
945150,945150,2020-01-12 21:50:19,4653879239169997,fraud_Larkin Ltd,kids_pets,27.49,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",1999-06-06,74771428f64671126b559a21833b0d77,1358027419,37.511682,-85.876094,0
696239,696239,2019-10-24 12:17:57,639077309909,"fraud_O'Reilly, Mohr and Purdy",home,197.54,Justin,Carter,M,853 Miller Bypass Suite 802,Broomfield,CO,80021,39.8854,-105.1139,92337,"Engineer, electronics",1967-10-18,2ccdfcf4221c467752fadd0bce12c4c2,1351081077,39.297056,-104.154923,0
767084,767084,2019-11-24 15:49:47,4451438912406400,"fraud_Langosh, Wintheiser and Hyatt",food_dining,1.03,Cheryl,Morgan,F,7535 Amanda Manors Suite 293,Norman,AR,71960,34.4596,-93.6743,1383,Manufacturing engineer,1999-09-11,96525072cfe460cef6caf0ea7727601b,1353772187,33.680358,-92.755544,0
449923,449923,2019-07-19 07:32:58,38199021865320,fraud_Hackett-Lueilwitz,grocery_pos,88.45,Jesse,Roberts,M,8415 Vaughn Squares Apt. 788,Acworth,NH,3601,43.196000000000005,-72.3001,477,Naval architect,1988-04-15,a9b83ebc704d77bdd14d1b58f19b38ce,1342683178,42.375021,-72.504063,0
1101254,1101254,2020-04-03 05:21:37,213156747557083,fraud_Kling Inc,gas_transport,104.33,Adam,Santos,M,725 Jo Trace Apt. 102,Glendale,CA,91206,34.1556,-118.2322,172817,Advertising account planner,1982-07-30,18e227ce5bddbe5330f3b10f47271c15,1364966497,34.607572,-117.821636,0
